model,corruption_type,train_fraction,test_fraction,class_name,precision,recall,fpr,fnr
resnet18,none,0.0,0.0,glioma,0.9940119760479041,0.83,0.0016666666666666668,0.17
resnet18,none,0.0,0.0,meningioma,0.8988505747126436,0.9775,0.03666666666666667,0.0225
resnet18,none,0.0,0.0,notumor,0.9388235294117647,0.9975,0.021666666666666667,0.0025
resnet18,none,0.0,0.0,pituitary,0.9852216748768473,1.0,0.005,0.0
resnet18,jpeg_compression,0.0,0.0,glioma,0.9938271604938271,0.805,0.0016666666666666668,0.195
resnet18,jpeg_compression,0.0,0.0,meningioma,0.8893905191873589,0.985,0.04083333333333333,0.015
resnet18,jpeg_compression,0.0,0.0,notumor,0.9280742459396751,1.0,0.025833333333333333,0.0
resnet18,jpeg_compression,0.0,0.0,pituitary,0.9925373134328358,0.9975,0.0025,0.0025
resnet18,jpeg_compression,0.0,0.1,glioma,0.9938080495356038,0.8025,0.0016666666666666668,0.1975
resnet18,jpeg_compression,0.0,0.1,meningioma,0.8834080717488789,0.985,0.043333333333333335,0.015
resnet18,jpeg_compression,0.0,0.1,notumor,0.9302325581395349,1.0,0.025,0.0
resnet18,jpeg_compression,0.0,0.1,pituitary,0.9925187032418953,0.995,0.0025,0.005
resnet18,jpeg_compression,0.0,0.25,glioma,0.9938080495356038,0.8025,0.0016666666666666668,0.1975
resnet18,jpeg_compression,0.0,0.25,meningioma,0.8811659192825112,0.9825,0.04416666666666667,0.0175
resnet18,jpeg_compression,0.0,0.25,notumor,0.9280742459396751,1.0,0.025833333333333333,0.0
resnet18,jpeg_compression,0.0,0.25,pituitary,0.9925,0.9925,0.0025,0.0075
resnet18,jpeg_compression,0.0,0.5,glioma,0.99375,0.795,0.0016666666666666668,0.205
resnet18,jpeg_compression,0.0,0.5,meningioma,0.8769574944071589,0.98,0.04583333333333333,0.02
resnet18,jpeg_compression,0.0,0.5,notumor,0.9174311926605505,1.0,0.03,0.0
resnet18,jpeg_compression,0.0,0.5,pituitary,0.9924433249370277,0.985,0.0025,0.015
resnet18,jpeg_compression,0.0,0.75,glioma,0.9906542056074766,0.795,0.0025,0.205
resnet18,jpeg_compression,0.0,0.75,meningioma,0.8747203579418344,0.9775,0.04666666666666667,0.0225
resnet18,jpeg_compression,0.0,0.75,notumor,0.9153318077803204,1.0,0.030833333333333334,0.0
resnet18,jpeg_compression,0.0,0.75,pituitary,0.9949367088607595,0.9825,0.0016666666666666668,0.0175
resnet18,jpeg_compression,0.0,1.0,glioma,0.9905956112852664,0.79,0.0025,0.21
resnet18,jpeg_compression,0.0,1.0,meningioma,0.8708240534521158,0.9775,0.04833333333333333,0.0225
resnet18,jpeg_compression,0.0,1.0,notumor,0.9070294784580499,1.0,0.034166666666666665,0.0
resnet18,jpeg_compression,0.0,1.0,pituitary,0.9974424552429667,0.975,0.0008333333333333334,0.025
resnet18,jpeg_compression,0.1,0.0,glioma,0.9939759036144579,0.825,0.0016666666666666668,0.175
resnet18,jpeg_compression,0.1,0.0,meningioma,0.9095127610208816,0.98,0.0325,0.02
resnet18,jpeg_compression,0.1,0.0,notumor,0.9280742459396751,1.0,0.025833333333333333,0.0
resnet18,jpeg_compression,0.1,0.0,pituitary,0.9852216748768473,1.0,0.005,0.0
resnet18,jpeg_compression,0.1,0.1,glioma,0.9939393939393939,0.82,0.0016666666666666668,0.18
resnet18,jpeg_compression,0.1,0.1,meningioma,0.9071925754060325,0.9775,0.03333333333333333,0.0225
resnet18,jpeg_compression,0.1,0.1,notumor,0.9280742459396751,1.0,0.025833333333333333,0.0
resnet18,jpeg_compression,0.1,0.1,pituitary,0.9803921568627451,1.0,0.006666666666666667,0.0
resnet18,jpeg_compression,0.1,0.25,glioma,0.9939393939393939,0.82,0.0016666666666666668,0.18
resnet18,jpeg_compression,0.1,0.25,meningioma,0.9071925754060325,0.9775,0.03333333333333333,0.0225
resnet18,jpeg_compression,0.1,0.25,notumor,0.9280742459396751,1.0,0.025833333333333333,0.0
resnet18,jpeg_compression,0.1,0.25,pituitary,0.9803921568627451,1.0,0.006666666666666667,0.0
resnet18,jpeg_compression,0.1,0.5,glioma,0.993920972644377,0.8175,0.0016666666666666668,0.1825
resnet18,jpeg_compression,0.1,0.5,meningioma,0.9050925925925926,0.9775,0.034166666666666665,0.0225
resnet18,jpeg_compression,0.1,0.5,notumor,0.9302325581395349,1.0,0.025,0.0
resnet18,jpeg_compression,0.1,0.5,pituitary,0.9779951100244498,1.0,0.0075,0.0
resnet18,jpeg_compression,0.1,0.75,glioma,0.9908814589665653,0.815,0.0025,0.185
resnet18,jpeg_compression,0.1,0.75,meningioma,0.9030023094688222,0.9775,0.035,0.0225
resnet18,jpeg_compression,0.1,0.75,notumor,0.9302325581395349,1.0,0.025,0.0
resnet18,jpeg_compression,0.1,0.75,pituitary,0.9803921568627451,1.0,0.006666666666666667,0.0
resnet18,jpeg_compression,0.1,1.0,glioma,0.9908814589665653,0.815,0.0025,0.185
resnet18,jpeg_compression,0.1,1.0,meningioma,0.9009216589861752,0.9775,0.035833333333333335,0.0225
resnet18,jpeg_compression,0.1,1.0,notumor,0.9324009324009324,1.0,0.024166666666666666,0.0
resnet18,jpeg_compression,0.1,1.0,pituitary,0.9803921568627451,1.0,0.006666666666666667,0.0
resnet18,jpeg_compression,0.25,0.0,glioma,0.9908814589665653,0.815,0.0025,0.185
resnet18,jpeg_compression,0.25,0.0,meningioma,0.8891402714932126,0.9825,0.04083333333333333,0.0175
resnet18,jpeg_compression,0.25,0.0,notumor,0.9345794392523364,1.0,0.023333333333333334,0.0
resnet18,jpeg_compression,0.25,0.0,pituitary,0.9950124688279302,0.9975,0.0016666666666666668,0.0025
resnet18,jpeg_compression,0.25,0.1,glioma,0.990909090909091,0.8175,0.0025,0.1825
resnet18,jpeg_compression,0.25,0.1,meningioma,0.891156462585034,0.9825,0.04,0.0175
resnet18,jpeg_compression,0.25,0.1,notumor,0.936768149882904,1.0,0.0225,0.0
resnet18,jpeg_compression,0.25,0.1,pituitary,0.9950248756218906,1.0,0.0016666666666666668,0.0
resnet18,jpeg_compression,0.25,0.25,glioma,0.9909365558912386,0.82,0.0025,0.18
resnet18,jpeg_compression,0.25,0.25,meningioma,0.891156462585034,0.9825,0.04,0.0175
resnet18,jpeg_compression,0.25,0.25,notumor,0.936768149882904,1.0,0.0225,0.0
