train_corruption,test_corruption,test_acc
jpeg_compression,jpeg_compression,0.95
jpeg_compression,beam_hardening,0.945625
jpeg_compression,gaussian_noise,0.6
jpeg_compression,gibbs_ringing,0.955
jpeg_compression,motion_ghosting,0.75
jpeg_compression,rician_noise,0.54625
jpeg_compression,combination,0.76875
jpeg_compression,clean,0.954375
beam_hardening,jpeg_compression,0.94375
beam_hardening,beam_hardening,0.945
beam_hardening,gaussian_noise,0.25625
beam_hardening,gibbs_ringing,0.9475
beam_hardening,motion_ghosting,0.618125
beam_hardening,rician_noise,0.256875
beam_hardening,combination,0.60875
beam_hardening,clean,0.949375
gaussian_noise,jpeg_compression,0.945625
gaussian_noise,beam_hardening,0.943125
gaussian_noise,gaussian_noise,0.95
gaussian_noise,gibbs_ringing,0.95
gaussian_noise,motion_ghosting,0.784375
gaussian_noise,rician_noise,0.9475
gaussian_noise,combination,0.919375
gaussian_noise,clean,0.95
gibbs_ringing,jpeg_compression,0.944375
gibbs_ringing,beam_hardening,0.941875
gibbs_ringing,gaussian_noise,0.36125
gibbs_ringing,gibbs_ringing,0.95125
gibbs_ringing,motion_ghosting,0.735
gibbs_ringing,rician_noise,0.31125
gibbs_ringing,combination,0.66875
gibbs_ringing,clean,0.95125
motion_ghosting,jpeg_compression,0.945625
motion_ghosting,beam_hardening,0.944375
motion_ghosting,gaussian_noise,0.59125
motion_ghosting,gibbs_ringing,0.9475
motion_ghosting,motion_ghosting,0.936875
motion_ghosting,rician_noise,0.51625
motion_ghosting,combination,0.786875
motion_ghosting,clean,0.94875
rician_noise,jpeg_compression,0.9475
rician_noise,beam_hardening,0.944375
rician_noise,gaussian_noise,0.944375
rician_noise,gibbs_ringing,0.953125
rician_noise,motion_ghosting,0.72375
rician_noise,rician_noise,0.9475
rician_noise,combination,0.9025
rician_noise,clean,0.95375
combination,jpeg_compression,0.946875
combination,beam_hardening,0.948125
combination,gaussian_noise,0.94625
combination,gibbs_ringing,0.9525
combination,motion_ghosting,0.92875
combination,rician_noise,0.946875
combination,combination,0.945
combination,clean,0.951875
none,jpeg_compression,0.94375
none,beam_hardening,0.941875
none,gaussian_noise,0.29875
none,gibbs_ringing,0.9525
none,motion_ghosting,0.69125
none,rician_noise,0.276875
none,combination,0.63375
none,clean,0.95125
